Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
GIMAP5 deficiency	GIMAP5	AR			"Low CD4, CD8 T cells, increased TH17 and Th2, poor T cell proliferation"					"Splenomegaly, autoimmunity"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
GIMAP6 deficiency	GIMAP6	AR		616960	Decreased naïve T cells	Normal	High IgM		Reduced NK cytotoxicity	"Adenopathy, splenomegaly, vasculitis, autoantibodies"	Table 4 Diseases of Immune Dysregulation	Subtable 2 FHL Syndromes with Hypopigmentation	288.4	D76.1	HP:0002715	HP:0012156		
GINS1 deficiency	GINS1	AR		610608	Low or normal	Low or normal	"High IgA, low IgM and IgG"	Low	Low NK	IUGR 	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
GINS4 deficiency	GINS4	AR		610611	Normal	Normal	Normal or increased	Low	Low NK cells	"Herpes family viruses, growth delay"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
GTF3A deficiency	GTF3A	AR							Fibroblasts	HSE	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
Tim-3 deficiency	HAVCR2	AR		606652	Normal 	Normal	Normal	Normal	Leukocytes	"T-cell lymphoma, subcutaneous panniculitis-like, HLH"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	202.83	C86.3	HP:0002721	HP:0012490		
HAX1 deficiency (Kostmann Disease) (SCN3)	HAX1	 AR		605998				Low		"Cognitive and neurological defects in patients with defects in both HAX1 isoforms, susceptibility to MDS/leukemia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
HCK disease	HCK	AD	GOF							"Cutaneous vasculitis and chronic pulmonary inflammation/fibrosis. Inflammatory leukocyte infiltration of the lungs and skin, anemia, hepatosplenomegaly, death due to respiratory failure. Clinical improvement with ruxolitinib"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	 HP:0004387		
"Immunodeficiency with centromeric instability and facial anomalies, ICF4"	HELLS	AR		603946	"Decreased or normal,"	Decreased or normal	"Variably low IgG, IgA"			"Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
Isolated congenital asplenia (ICA) due to HMOX deficiency	HMOX1	AR		141250	Normal 	Normal	Normal	Normal	"No spleen, Macrophages"	"Hemolysis, nephritis, inflammation, HLH, lung disease"	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0001746		
HYOU1 deficiency	HYOU1	AR		601746				Low		"Hypoglycemia, inflammatory complications"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
ICOS deficiency	ICOS	AR		604558	Normal	Normal	Low			"Recurrent infections, autoimmunity, gastroenteritis, granulomas "	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279	D81.9	HP:0002715	HP:0005403		
ICOLG deficiency	ICOSLG	AR		605717	Low	Low 	Low	Low		Recurrent bacterial and viral infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279	D81.9	HP:0002715	HP:0005403		
MDA5 deficiency (LOF)	IFIH1	AR		606951	Normal 	Normal	Normal	Normal	Somatic and hematopoietic	Rhinovirus and other RNA viruses	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
Aicardi-Goutieres syndrome 7 (AGS7)	IFIH1 	AD	GOF	606951	Normal 	Normal	Normal	Normal		"Classical AGS, SLE, SP, SMS"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
IFNAR1 deficiency	IFNAR1	AR			Normal 	Normal	Normal	Normal		"Severe disease caused by Yellow Fever vaccine and Measles vaccine, severe COVID-19"	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
IFNAR2 deficiency	IFNAR2	AR		602376	Normal 	Normal	Normal	Normal	Broadly expressed	"Severe viral infections (disseminated vaccine-strain measles, HHV6), severe COVID-19"	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
IFNG deficiency	IFNG	AR			Normal	Normal	Normal			Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IFN-g receptor 1 deficiency	IFNGR1	AR 		107470	Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IFN-g receptor 1 deficiency	IFNGR1	AD		107470	Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IFN-g receptor 2 deficiency	IFNGR2	AR		147569	Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
m heavy chain deficiency	IGHM 	AR		147020	Normal 	Very low	Very low			"Severe bacterial infections, normal numbers of pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
Kappa chain deficiency	IGKC	AR		147200	Normal	Normal				Asymptomatic	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.03	D80.3	HP:0002715	HP:0010701		
l5 deficiency	IGLL1	AR		146770	Normal 	Very low	Very low			"Severe bacterial infections, normal numbers of pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
IKBKB deficiency	IKBKB	AR		615592	"Nl number, absent Treg and g/d T cells, impaired TCR activation"	"Nl number, poor function"				"Recurrent bacterial, viral, fungal infections, opportunistic infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
EDA-ID due to IKBKB GOF mutation	IKBKB	AD 	GOF	618204	Low	"Normal count, poor function"	Low			"Recurrent bacterial, viral, fungal infections, variable ectodermal defects"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)	279.2	D81.9	HP:0002715	 HP:0000968		
IKBKE deficiency	IKBKE	AD							Microglia	HSE	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
"EDA-ID due to NEMO /IKBKG deficiency (ectodermal dysplasia, immune deficiency)"	IKBKG	XL		300248	"Normal or decreased, TCR activation impaired"	"Normal, Low memory and isotype switched B cells"	"Decreased, some with elevated IgA, IgM, poor specific antibody responses, absent antibody to polysaccharide antigens"		Poor NK function	"Anhidrotic ectodermal dysplasia (in some), various infections (bacteria, mycobacteria, viruses and fungi), colitis, conical teeth, variable defects of skin, hair and teeth, monocyte dysfunction"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)	279.2	D81.9	HP:0002715	 HP:0000968		
NEMO Exon 5 deletion	IKBKG	XL								"NFKB and interferon signatures, fever, rash, CNS inflammation"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	 HP:0004387		
Ikaros deficiency	IKZF1	AD 	DN		No memory T cells	No memory B cells	Low			"Recurrent sinopulmonary infections, pneumocystis early CID onset"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279	D81.9	HP:0002715	HP:0005403		
IKAROS haplosufficiency	IKZF1	AD	haplosufficiency	603023	Normal 	Declining	Low			Recurrent sinopulmonary infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
Ikaros GOF	IKZF1	AD	GOF			Normal	Mild decrease			"Autoimmunity, allergy, lymphoprolfieration, infections"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects						
IKZF2 deficiency	IKZF2	AD			"Increased activated/ exhausted T cells. Increased  production pro-inflammatory cytokines by T cells.  Increased MAIT, Tfh cells, NK cells.
Normal Treg"	"normal B cell numbers, but low switched memory. dysregulated germinal centers"	hypogammaglobulinemia with low/normal IgG vaccine responses			"combined immunodeficiency, recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, Evan’s syndrome.
EBV-associated HLH, lymphoma"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
IKZF2 deficiency	IKZF2	AR			"Increased activated/ exhausted T cells. Increased  production pro-inflammatory cytokines by T cells.  Increased MAIT, Tfh cells, NK cells.
Normal Treg"	"normal B cell numbers, but low switched memory. dysregulated germinal centers"	hypogammaglobulinemia with low/normal IgG vaccine responses			"combined immunodeficiency, recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, Evan’s syndrome.
EBV-associated HLH, lymphoma"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
IKZF2 DN 	IKZF2	AD	DN	606234	CD4 and CD8 T cell lymphopenia with low TRECs	Normal to low	Normal or low			"Developmental delay, hearing loss, cleft palate, abnormal teeth"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.2	D81.9	HP:0002715	HP:0005403		
AIOLOS deficiency	IKZF3	AD	DN		"Normal numbers T, NK cells. Increased naïve CD4+ T cells, RTE. Decreased memory, Tfh; CD40L induction.
Increased %’s CD8 T cells; activated T cells"	"Abnormal B cell development
(decreased BM B precursors; 
hi CD21lo B; decreased memory B cells). Decreased response to CD40"	Severe hypogamma 			"EBV susceptibility, recurrent sinopulmonary/respiratory infections, PJP, warts, M avium. B cell lymphoma (2/3), B-CLL"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842		
IL-10 deficiency	IL10 	AR		124092	Normal	Normal	Normal 	Normal		"Inflammatory bowel disease (IBD) Folliculitis, recurrent respiratory diseases, arthritis,"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
IL-10Ra deficiency	IL10RA 	AR		146933	Normal	Normal	Normal 	Normal		"IBD, Folliculitis, recurrent respiratory diseases, arthritis, lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
IL-10Rb deficiency	IL10RB 	AR		123889	Normal	Normal	Normal 	Normal		"IBD, folliculitis, recurrent respiratory diseases, arthritis, lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
IL-12p40 (IL-12 and IL-23) deficiency	IL12B 	AR		161561	Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IL-12 and IL-23 receptor b1 chain deficiency	IL12RB1	AR		601604	Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IL-12Rb2 deficiency	IL12RB2	AR			Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IL-17F deficiency	IL17F	AD		606496	Normal 	Normal	Normal	Normal	T cells	"CMC, folliculitis"	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis	279.9	D89.9	HP:0002715	HP:0005401		
IL-17RA deficiency	IL17RA	AR		605461	Normal 	Normal	Normal	Normal	"Epithelial cells, fibroblasts, mononuclear phagocytes"	"CMC, folliculitis"	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis	279.9	D89.9	HP:0002715	HP:0005401		
IL-17RC deficiency	IL17RC	AR		610925	Normal 	Normal	Normal	Normal	"Epithelial cells, fibroblasts, mononuclear phagocytes"	CMC	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis	279.9	D89.9	HP:0002715	HP:0005401		
IL-18BP deficiency	IL18BP	AR								Fulminant viral hepatitis	Table 6 Defects in intrinsic and innate immunity	Subtable 9  Other inborn errors of immunity related to leukocytes	279.9	D89.9	HP:0002715	HP:0012115		
CRMO3 IL1R1 disorder	IL1R1	AD							Activated myeloid cells	"Arthritis, bone lesions, poor growth"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	 HP:0004387		
DIRA (Deficiency of the Interleukin 1 Receptor Antagonist)	IL1RN 	AR		612852	Normal 	Normal	Normal	Normal	"PMNs, Monocytes"	"Neonatal onset of sterile multifocal osteomyelitis, periostitis and pustulosis."	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
IL-21 deficiency	IL21 	AR		615767	"Nl number, nl/low function"	Low				"Severe early onset colitis, recurrent sinopulmonary infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
IL-21R deficiency	IL21R 	AR		615207	"Nl number, low cytokine production, poor antigen proliferation"	Normal				"Recurrent infections, Pneumocystis jiroveci, Cryptosporidium infections and liver disease"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
IL-23R deficiency	IL23R	AR			Normal 	Normal	Normal	Normal		Susceptibility to mycobacteria and Salmonella	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IL-27RA deficiency	IL27RA	AR			Normal	Normal				Severe primary EBV	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
CD25 deficiency	IL2RA	AR		147730	Normal to decreased	Normal				"Lymphoproliferation, autoimmunity, impaired T cell proliferation"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
CD122 deficiency	IL2RB	AR 		618495	"Increased  memory CD8 T cells, decreased Tregs"	Increased memory B cells	High		Poor NK function	"Lymphoproliferation, lymphadenopathy, hepatosplenomegaly, autoimmune hemolytic anemia, dermatitis, enteropathy,
recurrent viral (EBV, CMV) infections"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
"gc deficiency (common gamma chain SCID, CD132 deficiency)"	IL2RG	XL		308380	Very low	Normal to high	Low	Normal	Low NK		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
DITRA (Deficiency of IL-36 receptor antagonist)	IL36RN 	AR		614204	Normal 	Normal	Normal	Normal	"Keratinocytes, leukocytes"	Pustular psoriasis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
IL6 receptor deficiency	IL6R	AR		147880	Normal	Normal	High IgE	Normal		"Recurrent pyogenic infections, cold abscesses, high circulating IL-6 levels, "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
IL6 signal transducer (IL6ST) deficiency	IL6ST	AR		618523	"Most patients died early, no data"	"Most patients died early, no data"	"Most patients died early, no data"			"A spectrum ranging from severe atopy to fatal Stuve-Weidemann-like syndrome; skeletal dysplasia, lung dysfunction, renal abnormalities, thrombocytopenia, dermatitis, eczema. Defective acute phase response. "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
IL6 signal transducer (IL6ST) deficiency	IL6ST	AD	DN		"Normal T cell numbers, increased naïve CD4 and CD8 T cell proportions. Decreased TCM CD4+ and CD8+ T cells, TEM CD8 T cells; MAIT, Tfh cells.  Increased Th2. Low to normal NK cell counts "	"Normal numbers of B cells, low memory B cells"	"Normal/low IgG, A, Normal IgM. Hyper IgE. Vaccine IgG normal"	Normal		"HIES – STAT3-like; dermatitis/eczema, eosinophilia, recurrent skin infections, pneumonia, bronchiectasis, pneumatoceles with severe secondary pulmonary aspergillosis, connective tissue defects (scoliosis, face, joints, fractures, palate, tooth retention). Phenocopies aspects of IL6R and IL11R deficiencies (due to unresponsiveness to these cytokines)"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
IL7Ra deficiency	IL7R	AR		146661	Very low	Normal to high	Low	Normal			Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
INO80	INO80 	AR		610169			Low IgG and IgA with normal or high IgM			Severe bacterial infections	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
IRAK1 deficiency	IRAK1	XL		Not yet attributed	Normal 	Normal	Normal	Normal	Lymphocytes + Granulocytes+ Monocytes	"Bacterial infections, X-linked MECP2 deficiency-related syndrome due to a large de novo Xq28 chromosomal deletion encompassing both MECP2 and IRAK1"	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	279.9	D89.9	HP:0002715	HP:0002718		
IRAK4 disorder	IRAK4	AR	GOF							"Neuroinflammation, fever, splenomegaly"	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	279.9	D89.9	HP:0002715	HP:0002718		
IRAK4 deficiency	IRAK4	AR		606883	Normal 	Normal	Normal	Normal	Lymphocytes + Granulocytes+ Monocytes	Bacterial infections (pyogens)	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	279.9	D89.9	HP:0002715	HP:0002718		
IRF1 deficiency	IRF1	AR		620668						"Severe MSMD, histoplasmosis"	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IRF2BP2 deficiency	IRF2BP2	AD		615332						"Recurrent infections, possible autoimmunity and inflammatory disease"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
IRF3 deficiency	IRF3	AD		616532	Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	Herpes simplex virus 1 encephalitis	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
IRF4 multimorphic R95T	IRF4	AD			Normal except low Th17 and TFH	Reduced	Agammaglobulinemia	Normal		"PJP, viral"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
IRF4 haplosufficiency	IRF4	AD			Low CD4 and CD8					Whipple’s disease	Table 6 Defects in intrinsic and innate immunity	Subtable 9  Other inborn errors of immunity related to leukocytes	279.9	D89.9	HP:0002715	HP:0012115		
IRF7 deficiency	IRF7	AR		605047					"Leukocytes, plasmacytoid dendritic cells, Non-hematopoietic cells"	Severe influenza and COVID-19	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
IRF8 deficiency (AD)	IRF8	AD		601565	Normal 	Normal	Normal	Normal	CD1c+ MDC	Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IRF8 deficiency (AR)	IRF8	AR		601565	Normal 	Normal	Normal	Normal	CD1c+ MDC	Susceptibility to mycobacteria and multiple other infectious agents	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
IRF9 deficiency	IRF9	AR 								Severe influenza disease	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
ISG15 deficiency	ISG15	AR		147571					Ubiquitously expressed	"Susceptibility to mycobacteria, brain calcifications"	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
ITCH deficiency	ITCH	AR		606409	Not assessed 	Not assessed 	Normal	Normal		"Early-onset chronic lung disease (interstitial pneumonitis), autoimmunity (thyroiditis, type I diabetes, chronic diarrhea/enteropathy, and hepatitis), failure to thrive, developmental delay, dysmorphic facial features "	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
Leukocyte adhesion deficiency type 1 (LAD1)	ITGB2	AR		600065				High		"Delayed cord separation, skin ulcers, periodontitis, leukocytosis"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D84.0	HP:0002715	HP:0410258		
ITK deficiency	ITK 	AR		186973	Progressive decrease	Normal	Variable			"EBV associated B cell lymphoproliferation, lymphoma"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	238.79	D82.3	HP:0002715	HP:0020072		
ITPKB deficiency	ITPKB	AR			Very low	Normal	Low	Normal to low	"Low Hb, low platelets, low neutrophils"	FTT	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
ITPR3	ITPR3	AR			"Low T cell numbers, impaired T cell activation and proliferation."	Low	Low			"Autoimmune cytopenias, enteropathy, Charcot Marie Tooth in one patient"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	279.2	D81.9	HP:0002715	 HP:0003198		
JAGN1 deficiency	JAGN1	 AR		616012				Low		"Myeloid maturation arrest, osteopenia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
JAK1 GOF	JAK1	AD 	GOF	147795	Not assessed	Not assessed			Eosinophilia	"HSM, eosinophilic enteritis, thyroid disease, poor growth, viral infections"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
JAK1 (LOF)	JAK1	AR		147795						"Susceptibility to mycobacteria and viruses, urothelial carcinoma"	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
JAK3 deficiency	JAK3	AR		600173	Very low	Normal to high	Low	Normal	Low NK		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
KARS1 deficiency	KARS1	AR		619147		Low	Low			"Fewer mitochondria in B cells, deafness, developmental delay, ADEM, neurologic disease"	Table 3 Predominantly Antibody Deficiencies	"Subtable 2 Severe Reduction in at Least 2 Serum Immunoglobulin Isotypes with Normal or Low Number of B Cells, CVID Phenotype"	279.06	D83.9	HP:0002715	HP:0004313		
Kabuki Syndrome 2 due to KDM6A deficiency 	KDM6A	XL (females may be affected)		300128	Normal	Normal	Low IgA and occasionally low IgG	Normal		"Typical facial abnormalities, cleft or high arched palate, skeletal abnormalities, short stature, intellectual disability, congenital heart defects, recurrent infections (otitis media, pneumonia) in 50% of patients. Autoimmunity may be present"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322		
Widemann-Steiner syndrome	KMT2A	AD		605130	Normal 	Variably decreased switched memory B cells	Low			"Respiratory infections, short stature, hypertelorism, hairy elbows, developmental delay, intellectual disability"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322		
Kabuki Syndrome 1 due to KMT2D deficiency 	KMT2D (MLL2)	AD		602113	Normal	Normal	Low IgA and occasionally low IgG	Normal		"Typical facial abnormalities, cleft or high arched palate, skeletal abnormalities, short stature, intellectual disability, congenital heart defects, recurrent infections (otitis media, pneumonia) in 50% of patients. Autoimmunity may be present"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322		
LACC1 deficiency	LACC1	AR		618795	Normal	Normal				JIA	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
