LOC128237006	uncharacterized LOC128237006
LOC128243484	cyclic nucleotide-binding domain-containing protein 1-like
LOC128244785	AN1-type zinc finger protein 1-like
LOC128244480	solute carrier family 49 member 4 homolog
LOC128242090	transmembrane protein 180-like
LOC128243828	transmembrane protein 180-like
LOC128244728	uncharacterized LOC128244728
LOC128243934	uncharacterized LOC128243934
LOC128243815	uncharacterized LOC128243815
LOC128243816	sodium/calcium exchanger regulatory protein 1-like
LOC128243817	fatty acid-binding protein%2C liver-like
LOC128242612	uncharacterized LOC128242612
LOC128243229	glucose-6-phosphate isomerase-like
LOC128243563	centromere protein N-like
LOC128242297	uncharacterized LOC128242297
LOC128245140	uncharacterized LOC128245140
LOC128243389	eukaryotic translation initiation factor 2-alpha kinase 1-like
LOC128242157	uncharacterized LOC128242157
LOC128245134	3-hydroxyisobutyrate dehydrogenase%2C mitochondrial-like
LOC128243869	centrosomal protein of 72 kDa-like
LOC128243868	DNA repair-scaffolding protein-like
LOC128243325	ankyrin repeat and SAM domain-containing protein 6-like
LOC128242788	vesicle-associated membrane protein/synaptobrevin-binding protein-like
LOC128242790	uncharacterized LOC128242790
LOC128243691	cilia- and flagella-associated protein 418-like
LOC128243690	exocyst complex component 2-like
LOC128244481	uncharacterized LOC128244481
LOC128244482	uncharacterized LOC128244482
LOC128244483	uncharacterized LOC128244483
LOC128242579	uncharacterized LOC128242579
LOC128244484	uncharacterized LOC128244484
LOC128244485	uncharacterized LOC128244485
LOC128242259	toll-like receptor 4
LOC128244487	sodium- and chloride-dependent transporter XTRP3-like
LOC128242678	E3 ubiquitin/ISG15 ligase TRIM25-like
LOC128244697	sal-like protein 1
LOC128243096	RAB11-binding protein RELCH homolog
LOC128243098	uncharacterized LOC128243098
LOC128243097	uncharacterized LOC128243097
LOC128242136	DNA replication factor Cdt1-like
LOC128243379	acyl-coenzyme A diphosphatase NUDT19-like
LOC128243380	xaa-Pro dipeptidase-like
LOC128243913	dnaJ homolog subfamily A member 2-like
LOC128243657	39S ribosomal protein L52%2C mitochondrial-like
LOC128244935	endosome-associated-trafficking regulator 1-like
LOC128244936	GTP-binding protein Rheb-like
LOC128244988	GDP-D-glycero-alpha-D-manno-heptose dehydrogenase-like
LOC128242238	ganglioside-induced differentiation-associated protein 1-like
LOC128243576	acyl-coenzyme A thioesterase 8-like
LOC128243362	inositol 1%2C4%2C5-trisphosphate receptor type 3-like
LOC128242071	uncharacterized LOC128242071
LOC128245139	uncharacterized LOC128245139
LOC128245051	uncharacterized LOC128245051
LOC128242442	D(2) dopamine receptor A-like
LOC128243823	G-protein coupled receptor 84-like
LOC128244490	gastrin/cholecystokinin type B receptor-like
LOC128245002	uncharacterized LOC128245002
LOC128242595	G-protein coupled receptor 83-like
LOC128244682	octopressin receptor-like
LOC128243217	zinc finger E-box-binding homeobox 1-like
LOC128243219	solute carrier family 52%2C riboflavin transporter%2C member 3-B-like
LOC128244491	riboflavin transporter 2-like
LOC128245044	solute carrier family 52%2C riboflavin transporter%2C member 3-B-like
LOC128244908	cytochrome P450 3A5-like
LOC128244909	cytochrome P450 3A19-like
LOC128243424	gamma-glutamylcyclotransferase-like
LOC128243425	gamma-aminobutyric acid receptor-associated protein-like 2
Trnag-ccc	transfer RNA glycine (anticodon CCC)
Trnaq-cug	transfer RNA glutamine (anticodon CUG)
LOC128242605	ileal sodium/bile acid cotransporter-like
LOC128242735	uncharacterized LOC128242735
LOC128242734	uncharacterized LOC128242734
LOC128242733	ileal sodium/bile acid cotransporter-like
LOC128244492	uncharacterized LOC128244492
LOC128242736	uncharacterized LOC128242736
LOC128243222	neuropilin and tolloid-like protein 2
LOC128243220	cyclin-D1-binding protein 1 homolog
LOC128243223	programmed cell death protein 5-like
LOC128243323	kelch-like protein 24
LOC128243324	cytochrome P450 1A1-like
LOC128243190	uncharacterized LOC128243190
LOC128242419	dynein regulatory complex subunit 4-like
LOC128242742	E3 ubiquitin-protein ligase MYLIP-like
LOC128242743	E3 ubiquitin-protein ligase MYLIP-like
LOC128244687	chromosome transmission fidelity protein 8 homolog
LOC128244493	leucine-rich repeat-containing protein 45-like
LOC128242337	glycine cleavage system H protein-like
LOC128244494	galactoside 2-alpha-L-fucosyltransferase Sec1-like
LOC128244804	hydroxylysine kinase-like
LOC128242490	cyclic nucleotide-gated cation channel beta-3-like
LOC128244633	atrial natriuretic peptide receptor 1-like
LOC128243520	uncharacterized LOC128243520
LOC128244495	uncharacterized LOC128244495
LOC128244496	putative nuclease HARBI1
LOC128244499	uncharacterized LOC128244499
LOC128244691	hydrogenase maturation factor HoxX-like
LOC128242060	uncharacterized LOC128242060
LOC128244781	uncharacterized LOC128244781
LOC128244500	uncharacterized LOC128244500
LOC128244501	uncharacterized LOC128244501
LOC128244502	uncharacterized LOC128244502
LOC128244503	uncharacterized LOC128244503
LOC128244504	uncharacterized LOC128244504
LOC128242611	uncharacterized LOC128242611
LOC128244506	zinc finger MYM-type protein 1-like
LOC128242109	52 kDa repressor of the inhibitor of the protein kinase-like
LOC128244507	putative nuclease HARBI1
LOC128244508	uncharacterized LOC128244508
LOC128244509	KRAB-A domain-containing protein 2-like
LOC128244510	low-density lipoprotein receptor-related protein 2-like
LOC128242408	uncharacterized LOC128242408
LOC128244974	thiol S-methyltransferase METTL7B-like
LOC128244511	GTP-binding protein GEM-like
LOC128244512	GTP-binding protein GEM-like
LOC128245090	uncharacterized LOC128245090
LOC128244513	uncharacterized LOC128244513
LOC128243215	probable phospholipid-transporting ATPase IIB
LOC128243216	uncharacterized LOC128243216
LOC128243652	dynactin subunit 1-like
LOC128243653	uncharacterized LOC128243653
LOC128242120	monocarboxylate transporter 12-like
LOC128242119	monocarboxylate transporter 12-like
LOC128243579	borealin-like
LOC128242339	b(0%2C+)-type amino acid transporter 1-like
LOC128244514	uncharacterized LOC128244514
LOC128244877	uncharacterized LOC128244877
LOC128242190	sodium- and chloride-dependent glycine transporter 1-like
LOC128242191	linear primary-alkylsulfatase-like
LOC128243341	uncharacterized LOC128243341
LOC128243700	glycogen-binding subunit 76A-like
LOC128245068	uncharacterized LOC128245068
LOC128243738	aquaporin AQPAe.a-like
LOC128243739	uncharacterized LOC128243739
LOC128243656	uncharacterized LOC128243656
LOC128244918	uncharacterized LOC128244918
LOC128242863	E3 ubiquitin-protein ligase TRIM71-like
LOC128243454	CCR4-NOT transcription complex subunit 10-like
LOC128243455	bactericidal permeability-increasing protein-like
LOC128242266	fatty acid hydroxylase domain-containing protein 2-like
LOC128242265	sodium-dependent noradrenaline transporter-like
LOC128244515	scoloptoxin SSD976-like
LOC128242692	N-acetylneuraminate lyase-like
LOC128243756	uncharacterized LOC128243756
LOC128243757	uncharacterized LOC128243757
LOC128245043	transmembrane protein 79-like
LOC128242110	protein FAN-like
LOC128243543	uncharacterized LOC128243543
LOC128244810	probable phospholipid-transporting ATPase IIB
LOC128244811	uncharacterized LOC128244811
LOC128244812	dynactin subunit 1-like
LOC128244815	uncharacterized LOC128244815
Trnat-agu	transfer RNA threonine (anticodon AGU)
LOC128242247	monocarboxylate transporter 12-like
LOC128242246	monocarboxylate transporter 12-like
LOC128244928	borealin-like
LOC128244927	b(0%2C+)-type amino acid transporter 1-like
LOC128242342	sodium- and chloride-dependent glycine transporter 1-like
LOC128242343	linear primary-alkylsulfatase-like
LOC128244829	glycogen-binding subunit 76A-like
LOC128244837	aquaporin AQPAe.a-like
LOC128244802	E3 ubiquitin-protein ligase TRIM71-like
LOC128243385	CCR4-NOT transcription complex subunit 10-like
LOC128244880	bactericidal permeability-increasing protein-like
LOC128242296	fatty acid hydroxylase domain-containing protein 2-like
LOC128242295	sodium-dependent noradrenaline transporter-like
LOC128244518	scoloptoxin SSD976-like
LOC128244913	N-acetylneuraminate lyase-like
LOC128245115	uncharacterized LOC128245115
Trnat-ggu	transfer RNA threonine (anticodon GGU)
LOC128243864	uncharacterized LOC128243864
LOC128244845	protein FAN-like
LOC128243102	uncharacterized LOC128243102
LOC128244519	uncharacterized LOC128244519
LOC128242731	uncharacterized LOC128242731
LOC128244520	solute carrier family 22 member 7-like
LOC128244612	organic cation transporter protein-like
LOC128243902	uncharacterized LOC128243902
LOC128243589	uncharacterized LOC128243589
LOC128242622	uncharacterized LOC128242622
LOC128243306	uncharacterized LOC128243306
LOC128244970	uncharacterized LOC128244970
LOC128244717	zinc finger protein ZFAT-like
LOC128244580	linear primary-alkylsulfatase-like
LOC128244954	uncharacterized LOC128244954
LOC128243150	mitochondrial import receptor subunit TOM70-like
LOC128243151	uncharacterized LOC128243151
LOC128244522	mitochondrial import receptor subunit TOM70-like
LOC128244523	uncharacterized LOC128244523
LOC128244524	circumsporozoite protein-like
LOC128243580	protein CBFA2T1-like
LOC128244698	cysteine desulfurase-like
LOC128242353	pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1%2C mitochondrial-like
LOC128243548	pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1%2C mitochondrial-like
LOC128243276	casein kinase I-like
LOC128243274	lysophosphatidylcholine acyltransferase 2-like
LOC128243272	nudC domain-containing protein 1-like
LOC128243275	BTB/POZ domain-containing protein 2-like
LOC128242080	uncharacterized LOC128242080
LOC128244525	uncharacterized LOC128244525
LOC128242546	uncharacterized LOC128242546
LOC128244526	uncharacterized LOC128244526
LOC128243174	probable serine/threonine-protein kinase DDB_G0278665
LOC128243450	UPF0434 protein AM070-like
LOC128243449	ribonuclease P protein subunit p29-like
LOC128243343	T-cell activation inhibitor%2C mitochondrial-like
LOC128243342	alanine aminotransferase 1-like
LOC128244594	protein FAM167A-like
LOC128244527	proprotein convertase subtilisin/kexin type 4-like
LOC128242519	neuroendocrine convertase 2-like
LOC128243835	nucleoprotein TPR-like
LOC128244603	protein unc-93 homolog A-like
LOC128244529	protein unc-93 homolog A-like
LOC128244602	protein unc-93 homolog A-like
LOC128242486	uncharacterized LOC128242486
LOC128242485	uncharacterized LOC128242485
LOC128242484	uncharacterized LOC128242484
LOC128244734	leucine-rich repeat-containing protein 15-like
LOC128242329	protein unc-93 homolog A-like
LOC128242667	uncharacterized LOC128242667
LOC128244978	protein unc-93 homolog A-like
LOC128244979	protein quiver-like
LOC128243791	DNA replication licensing factor mcm4-like
LOC128243148	ATP-dependent DNA helicase Q4-like
LOC128243149	uncharacterized LOC128243149
LOC128245095	uncharacterized LOC128245095
LOC128244530	transcription factor HES-1-B-like
LOC128244531	uncharacterized LOC128244531
LOC128242224	putative nuclease HARBI1
LOC128242506	uncharacterized LOC128242506
LOC128242899	ubiquitin carboxyl-terminal hydrolase 10-like
LOC128242078	protein BANP-like
LOC128243605	testis%2C prostate and placenta-expressed protein-like
LOC128244532	dentin sialophosphoprotein-like
LOC128242287	uncharacterized LOC128242287
LOC128244533	uncharacterized protein PF3D7_1120600-like
LOC128244534	uncharacterized protein PF3D7_1120600-like
LOC128243760	alkaline phosphatase%2C tissue-nonspecific isozyme-like
LOC128243761	ribosome-binding protein 1-like
LOC128243762	myomodulin neuropeptides 1-like
LOC128244535	alkaline phosphatase%2C tissue-nonspecific isozyme-like
LOC128243320	uncharacterized LOC128243320
LOC128243322	uncharacterized LOC128243322
LOC128244537	putative nuclease HARBI1
LOC128243523	PHD finger protein 20-like protein 1
LOC128244639	flavin-containing monooxygenase 3-like
LOC128245064	uncharacterized LOC128245064
LOC128243832	uncharacterized LOC128243832
LOC128244538	uncharacterized LOC128244538
LOC128244539	putative nuclease HARBI1
LOC128243834	uncharacterized LOC128243834
LOC128243833	dimethylaniline monooxygenase [N-oxide-forming] 4-like
LOC128244541	putative nuclease HARBI1
LOC128244542	senecionine N-oxygenase-like
LOC128244901	poly [ADP-ribose] polymerase 2-like
LOC128244903	uncharacterized LOC128244903
LOC128244721	uncharacterized LOC128244721
LOC128244722	uncharacterized LOC128244722
LOC128244543	histone-lysine N-methyltransferase SETMAR-like
LOC128242534	putative nuclease HARBI1
LOC128244545	uncharacterized LOC128244545
LOC128242532	uncharacterized LOC128242532
LOC128242848	uncharacterized LOC128242848
LOC128244548	uncharacterized LOC128244548
LOC128243886	uncharacterized LOC128243886
LOC128244549	hemocyte protein-glutamine gamma-glutamyltransferase-like
LOC128245069	hemocyte protein-glutamine gamma-glutamyltransferase-like
LOC128244851	hemocyte protein-glutamine gamma-glutamyltransferase-like
LOC128244873	uncharacterized LOC128244873
LOC128244792	uncharacterized LOC128244792
LOC128242253	uncharacterized LOC128242253
LOC128244405	low-density lipoprotein receptor-related protein 4-like
LOC128244551	uncharacterized LOC128244551
LOC128244776	uncharacterized LOC128244776
LOC128244552	uncharacterized LOC128244552
LOC128244989	protein MTSS 2-like
LOC128242827	RNA-binding protein 39-like
LOC128244553	unconventional prefoldin RPB5 interactor 1-like
LOC128244554	carbonic anhydrase 2-like
LOC128244556	carbonic anhydrase 6-like
LOC128244557	carbonic anhydrase 2-like
LOC128242379	60S ribosomal protein L13-like
LOC128243265	mannosylglucosyl-3-phosphoglycerate phosphatase-like
LOC128243811	EMILIN-1-like
LOC128244740	EMILIN-1-like
LOC128244789	arylalkylamine N-acetyltransferase 1-like
LOC128243794	arylalkylamine N-acetyltransferase 1-like
LOC128243363	inositol 1%2C4%2C5-trisphosphate receptor type 3-like
LOC128244667	perlucin-like
LOC128244558	adhesion G-protein coupled receptor G2-like
LOC128244666	phosphatidylinositol-3-phosphatase SAC1-like
LOC128242572	transmembrane protein 231-like
LOC128242221	uncharacterized LOC128242221
LOC128244816	monocarboxylate transporter 1-like
LOC128244793	uncharacterized LOC128244793
LOC128243352	uncharacterized LOC128243352
LOC128243351	nuclear pore complex protein Nup93-like
LOC128243354	alanine--glyoxylate aminotransferase 2%2C mitochondrial-like
LOC128243353	uncharacterized LOC128243353
LOC128242580	uncharacterized LOC128242580
LOC128244907	uncharacterized LOC128244907
LOC128242593	uncharacterized LOC128242593
LOC128243922	uncharacterized LOC128243922
LOC128242144	uncharacterized LOC128242144
LOC128242158	uncharacterized LOC128242158
LOC128243914	uncharacterized LOC128243914
LOC128242538	uncharacterized LOC128242538
LOC128242890	short transient receptor potential channel 7-like
LOC128243877	protein unc-93 homolog A-like
LOC128243878	b(0%2C+)-type amino acid transporter 1-like
LOC128242105	centrosomal protein of 76 kDa-like
LOC128244838	glucose-fructose oxidoreductase domain-containing protein 1-like
LOC128244839	uncharacterized LOC128244839
LOC128244658	uncharacterized LOC128244658
LOC128244559	calmodulin-like protein 3
LOC128244741	TOX high mobility group box family member 4-like
LOC128243213	splicing factor 3B subunit 3-like
LOC128244584	conserved oligomeric Golgi complex subunit 4-like
LOC128242410	protein snail-like
LOC128242868	serine/threonine-protein phosphatase 4 regulatory subunit 1-like
LOC128243344	terminal nucleotidyltransferase 4B-like
LOC128244787	cleavage and polyadenylation specificity factor subunit 1-like
LOC128245121	calpain-D-like
LOC128245117	uncharacterized LOC128245117
LOC128243008	sodium/hydrogen exchanger 8-like
LOC128242284	uncharacterized LOC128242284
LOC128242283	uncharacterized LOC128242283
LOC128244560	uncharacterized LOC128244560
LOC128244561	uncharacterized LOC128244561
LOC128244875	uncharacterized LOC128244875
LOC128244944	uncharacterized LOC128244944
LOC128244641	galactoside alpha-(1%2C2)-fucosyltransferase 2-like
LOC128245026	alpha-(1%2C3)-fucosyltransferase C-like
LOC128243888	uncharacterized LOC128243888
LOC128245009	beta-1%2C3-galactosyltransferase 1-like
LOC128242469	uncharacterized LOC128242469
LOC128242697	uncharacterized LOC128242697
LOC128242411	uncharacterized LOC128242411
LOC128244645	uncharacterized LOC128244645
LOC128244566	sialidase-like
LOC128242502	uncharacterized LOC128242502
LOC128244567	zinc finger protein 862-like
LOC128242501	galactoside alpha-(1%2C2)-fucosyltransferase 2-like
LOC128242596	uncharacterized LOC128242596
LOC128244568	uncharacterized LOC128244568
LOC128244569	uncharacterized LOC128244569
LOC128243905	uncharacterized LOC128243905
LOC128242241	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC128244571	putative nuclease HARBI1
LOC128244582	uncharacterized LOC128244582
LOC128243107	uncharacterized LOC128243107
LOC128243104	beta-1%2C3-galactosyltransferase 1-like
LOC128243105	uncharacterized LOC128243105
LOC128243106	uncharacterized LOC128243106
LOC128243103	alpha-(1%2C3)-fucosyltransferase fut-5-like
LOC128243108	galactoside alpha-(1%2C2)-fucosyltransferase 2-like
LOC128243109	uncharacterized LOC128243109
LOC128243113	uncharacterized LOC128243113
LOC128243110	uncharacterized LOC128243110
LOC128243111	uncharacterized LOC128243111
LOC128243795	uncharacterized LOC128243795
LOC128243722	uncharacterized LOC128243722
LOC128244573	uncharacterized LOC128244573
LOC128243721	uncharacterized LOC128243721
LOC128243939	uncharacterized LOC128243939
LOC128243885	uncharacterized LOC128243885
LOC128242691	carbohydrate sulfotransferase 9-like
LOC128242438	uncharacterized LOC128242438
LOC128242608	uncharacterized LOC128242608
LOC128244613	uncharacterized LOC128244613
LOC128244657	uncharacterized LOC128244657
LOC128244575	uncharacterized LOC128244575
LOC128242656	uncharacterized LOC128242656
LOC128242444	uncharacterized LOC128242444
LOC128242445	uncharacterized LOC128242445
LOC128203484	uncharacterized LOC128203484
LOC128245339	uncharacterized LOC128245339
LOC128245338	brevican core protein-like
LOC128203430	cationic amino acid transporter 4-like
LOC128202938	uncharacterized LOC128202938
LOC128202772	uncharacterized LOC128202772
LOC128202773	uncharacterized LOC128202773
LOC128202774	uncharacterized LOC128202774
LOC128245362	uncharacterized LOC128245362
LOC128203605	L-rhamnose-binding lectin ELEL-1-like
LOC128203616	L-rhamnose-binding lectin ELEL-1-like
LOC128245662	L-rhamnose-binding lectin ELEL-1-like
LOC128245663	uncharacterized LOC128245663
LOC128203573	putative nuclease HARBI1
LOC128245480	uncharacterized LOC128245480
LOC128246574	uncharacterized LOC128246574
LOC128246575	14-3-3-like protein 1
LOC128245499	uncharacterized LOC128245499
LOC128202776	L-xylulose reductase-like
LOC128245331	uncharacterized LOC128245331
LOC128245330	uncharacterized LOC128245330
Trnae-uuc	transfer RNA glutamic acid (anticodon UUC)
LOC128202763	14-3-3 protein homolog 2-like
LOC128246930	GDP-fucose transporter 1-like
LOC128203475	dnaJ homolog subfamily C member 11-like
LOC128202960	mitochondrial coenzyme A diphosphatase NUDT8-like
LOC128203638	NACHT and WD repeat domain-containing protein 2-like
LOC128246625	tripartite motif-containing protein 2-like
LOC128203527	uncharacterized LOC128203527
LOC128245725	echinoidin-like
LOC128203661	eukaryotic translation initiation factor 5A-1-like
LOC128246938	eukaryotic translation initiation factor 5A-like
LOC128202783	macrophage mannose receptor 1-like
LOC128202784	C-type mannose receptor 2-like
LOC128202785	C-type mannose receptor 2-like
LOC128203237	guanylate-binding protein 1-like
LOC128246745	uncharacterized LOC128246745
LOC128202786	E3 ubiquitin-protein ligase TRIM33-like
LOC128202942	von Willebrand factor A domain-containing protein 8-like
LOC128202746	ubiquitin conjugation factor E4 B-like
LOC128203175	cytochrome b5 domain-containing protein 1-like
LOC128202939	N-alpha-acetyltransferase 38%2C NatC auxiliary subunit-like
LOC128245342	uncharacterized LOC128245342
LOC128202787	uncharacterized LOC128202787
LOC128202788	uncharacterized LOC128202788
LOC128202790	uncharacterized LOC128202790
LOC128245459	uncharacterized LOC128245459
LOC128202791	putative nuclease HARBI1
LOC128202793	inner ear-specific collagen-like
LOC128245468	guanylate-binding protein 1-like
LOC128245469	uncharacterized LOC128245469
LOC128203170	guanylate-binding protein 1-like
LOC128245520	guanylate-binding protein 3-like
LOC128245593	guanylate-binding protein 1-like
LOC128202795	guanylate-binding protein 1-like
LOC128246652	uncharacterized LOC128246652
LOC128246651	guanylate-binding protein 3-like
LOC128202798	uncharacterized LOC128202798
LOC128202799	uncharacterized LOC128202799
LOC128202652	pleckstrin homology domain-containing family G member 5-like
LOC128246796	dentin sialophosphoprotein-like
LOC128245594	uncharacterized LOC128245594
LOC128203612	uncharacterized LOC128203612
LOC128246945	uncharacterized LOC128246945
LOC128203304	26S proteasome regulatory subunit 7
LOC128202995	uncharacterized LOC128202995
LOC128246404	uncharacterized LOC128246404
LOC128202792	ultra-long-chain fatty acid omega-hydroxylase-like
LOC128245728	uncharacterized LOC128245728
LOC128246543	uncharacterized LOC128246543
LOC128246537	Golgi integral membrane protein 4-like
LOC128202802	uncharacterized LOC128202802
LOC128203536	uncharacterized LOC128203536
LOC128246628	uncharacterized LOC128246628
LOC128246629	sodium-coupled monocarboxylate transporter 1-like
LOC128246632	uncharacterized LOC128246632
LOC128246633	uncharacterized LOC128246633
LOC128246631	sodium-coupled monocarboxylate transporter 1-like
LOC128246630	sodium-coupled monocarboxylate transporter 1-like
LOC128203658	uncharacterized LOC128203658
LOC128246500	uncharacterized LOC128246500
LOC128245562	uncharacterized LOC128245562
LOC128203394	uncharacterized LOC128203394
LOC128245439	uncharacterized LOC128245439
LOC128203718	solute carrier family 2%2C facilitated glucose transporter member 1-like
LOC128245585	G-protein coupled receptor 157-like
LOC128203215	28S rRNA (cytosine-C(5))-methyltransferase-like
LOC128202805	cyclic nucleotide-gated cation channel alpha-3-like
LOC128202806	shematrin-like protein 2
LOC128202807	C-type mannose receptor 2-like
LOC128202808	guanylate-binding protein 2-like
LOC128202809	T-box transcription factor TBX6-like
LOC128202811	uncharacterized LOC128202811
LOC128203354	guanylate-binding protein 2-like
LOC128202813	pleckstrin homology domain-containing family G member 5-like
LOC128202656	uncharacterized LOC128202656
LOC128202657	uncharacterized LOC128202657
LOC128202814	uncharacterized LOC128202814
Trnas-uga	transfer RNA serine (anticodon UGA)
LOC128246843	agrin-like
LOC128202817	uncharacterized LOC128202817
LOC128246847	uncharacterized LOC128246847
LOC128246846	uncharacterized LOC128246846
Trnal-caa	transfer RNA leucine (anticodon CAA)
Trnal-uaa	transfer RNA leucine (anticodon UAA)
LOC128202819	uncharacterized LOC128202819
LOC128246844	agrin-like
LOC128202820	uncharacterized LOC128202820
LOC128203709	uncharacterized LOC128203709
LOC128203710	uncharacterized LOC128203710
LOC128245311	uncharacterized LOC128245311
LOC128202821	5-hydroxytryptamine receptor 3A-like
LOC128203437	uncharacterized LOC128203437
LOC128202822	putative nuclease HARBI1
LOC128202823	uncharacterized LOC128202823
LOC128202824	neuronal acetylcholine receptor subunit beta-3-like
LOC128203307	tumor necrosis factor receptor superfamily member 14-like
LOC128245571	tumor necrosis factor receptor superfamily member 14-like
LOC128202901	5'-3' exoribonuclease 1-like
LOC128202825	coadhesin-like
LOC128203116	uncharacterized LOC128203116
LOC128202826	medium-chain acyl-CoA ligase ACSF2%2C mitochondrial-like
LOC128203117	uncharacterized LOC128203117
LOC128202827	interferon-induced protein 44-like
LOC128203118	uncharacterized LOC128203118
LOC128202830	coadhesin-like
LOC128202831	uncharacterized LOC128202831
LOC128202832	uncharacterized LOC128202832
LOC128203297	uncharacterized LOC128203297
LOC128202833	coadhesin-like
LOC128202835	medium-chain acyl-CoA ligase ACSF2%2C mitochondrial-like
LOC128203485	coadhesin-like
LOC128202890	5'-3' exoribonuclease 1-like
LOC128245699	tumor necrosis factor receptor superfamily member 14-like
LOC128202912	tumor necrosis factor receptor superfamily member 14-like
LOC128203714	tumor necrosis factor receptor superfamily member 14-like
LOC128203683	uncharacterized LOC128203683
LOC128203114	uncharacterized LOC128203114
LOC128202837	interferon-induced protein 44-like
LOC128202916	uncharacterized LOC128202916
LOC128202838	coadhesin-like
LOC128202844	medium-chain fatty-acid--CoA ligase-like
LOC128202917	interferon-induced protein 44-like
LOC128203055	uncharacterized LOC128203055
LOC128202846	macrophage mannose receptor 1-like
LOC128245455	uncharacterized LOC128245455
LOC128202680	5'-3' exoribonuclease 1-like
LOC128202681	5'-3' exoribonuclease 1-like
LOC128246738	uncharacterized LOC128246738
LOC128246733	rho guanine nucleotide exchange factor 10-like protein
LOC128246740	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase-like
LOC128202848	mucin-12-like
LOC128246734	filaggrin-2-like
LOC128246739	elongator complex protein 5-like
LOC128246741	uncharacterized LOC128246741
LOC128246742	uncharacterized LOC128246742
LOC128246735	putative nuclease HARBI1
LOC128246737	uncharacterized LOC128246737
LOC128203390	uncharacterized LOC128203390
LOC128245672	uncharacterized LOC128245672
LOC128245595	cadherin-99C-like
LOC128246759	ER membrane protein complex subunit 1-like
LOC128246758	E3 ubiquitin-protein ligase MIB1-like
LOC128202850	C-type mannose receptor 2-like
LOC128246832	lysophospholipid acyltransferase 5-like
LOC128246833	exocyst complex component 8-like
LOC128245641	EF-hand domain-containing protein D2-like
LOC128245642	uncharacterized LOC128245642
LOC128246869	CTD nuclear envelope phosphatase 1-like
LOC128203438	uncharacterized LOC128203438
LOC128203735	acetyl-coenzyme A transporter 1-like
LOC128246919	acetyl-coenzyme A transporter 1-like
LOC128246920	uncharacterized LOC128246920
LOC128246923	uncharacterized LOC128246923
LOC128246921	uncharacterized LOC128246921
LOC128246927	uncharacterized LOC128246927
LOC128203252	eukaryotic translation initiation factor 4 gamma 1-like
LOC128203253	lysosomal amino acid transporter 1 homolog
LOC128202745	protein LZIC-like
LOC128202744	ceramide-1-phosphate transfer protein-like
LOC128245449	integrator complex subunit 11-like
LOC128245450	leucine-rich repeat-containing protein 23-like
LOC128245448	zinc finger protein castor homolog 1-like
LOC128203266	transcription intermediary factor 1-beta-like
LOC128202642	translocation protein SEC62-like
Trnat-agu	transfer RNA threonine (anticodon AGU)
LOC128202855	uncharacterized LOC128202855
LOC128202644	tRNA (guanine-N(7)-)-methyltransferase-like
LOC128203126	uncharacterized LOC128203126
LOC128202857	uncharacterized LOC128202857
LOC128203377	uncharacterized LOC128203377
LOC128246661	uncharacterized LOC128246661
LOC128202858	uncharacterized LOC128202858
LOC128245628	uncharacterized LOC128245628
LOC128203453	proteasome subunit beta type-6-like
LOC128203546	uncharacterized LOC128203546
LOC128203076	uncharacterized LOC128203076
LOC128203598	uncharacterized LOC128203598
LOC128202750	uncharacterized LOC128202750
LOC128203682	uncharacterized LOC128203682
LOC128202860	alpha-mannosidase 2-like
LOC128202861	uncharacterized LOC128202861
LOC128203003	cation-dependent mannose-6-phosphate receptor-like
LOC128202863	uncharacterized LOC128202863
LOC128203640	uncharacterized LOC128203640
LOC128245422	uncharacterized LOC128245422
LOC128246445	uncharacterized LOC128246445
LOC128203260	uncharacterized LOC128203260
LOC128245317	exosome component 10-like
LOC128202866	rhodopsin-like
LOC128202867	visual pigment-like receptor peropsin
LOC128203073	receptor-transporting protein 3-like
LOC128202868	uncharacterized LOC128202868
LOC128202869	kappa-type opioid receptor-like
LOC128246518	uncharacterized LOC128246518
LOC128246517	TBC1 domain family member 15-like
LOC128203058	uncharacterized LOC128203058
LOC128203456	uncharacterized LOC128203456
LOC128202871	uncharacterized LOC128202871
LOC128202701	uncharacterized LOC128202701
LOC128202702	succinate dehydrogenase [ubiquinone] iron-sulfur subunit%2C mitochondrial-like
LOC128202929	proteasome subunit beta type-6-like
LOC128245421	uncharacterized LOC128245421
LOC128203452	uncharacterized LOC128203452
LOC128245457	uncharacterized LOC128245457
LOC128203070	uncharacterized LOC128203070
LOC128202879	alpha-mannosidase 2-like
LOC128203487	cation-dependent mannose-6-phosphate receptor-like
LOC128202880	serine-rich adhesin for platelets-like
LOC128246586	uncharacterized LOC128246586
LOC128203719	uncharacterized LOC128203719
LOC128202884	uncharacterized LOC128202884
LOC128202885	uncharacterized LOC128202885
LOC128203774	exosome component 10-like
LOC128202887	visual pigment-like receptor peropsin
LOC128202764	receptor-transporting protein 3-like
LOC128202888	kappa-type opioid receptor-like
LOC128246505	uncharacterized LOC128246505
LOC128246506	TBC1 domain family member 15-like
LOC128202959	uncharacterized LOC128202959
LOC128203405	uncharacterized LOC128203405
LOC128203486	succinate dehydrogenase [ubiquinone] iron-sulfur subunit%2C mitochondrial-like
